
TEST:
...
                                                               |     RMSE |    AUC |  F1@10 |    MAP |    MRR | NDCG@10 | NDCG@20 | NDCG@30 | Precision@10 | Recall@10 | Train (s) | Test (s)
WMF(K=40, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 486.9654 | 0.4641 | 0.0594 | 0.0743 | 0.1718 |  0.1047 |  0.1140 |  0.1140 |       0.0405 |    0.1219 |    0.8795 |   0.0429
WMF(K=50, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 495.1166 | 0.5979 | 0.0248 | 0.0328 | 0.0593 |  0.0397 |  0.0601 |  0.0667 |       0.0162 |    0.0784 |    0.8645 |   0.0435
WMF(K=50, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 495.1166 | 0.5979 | 0.0248 | 0.0328 | 0.0589 |  0.0397 |  0.0601 |  0.0667 |       0.0162 |    0.0784 |    0.8888 |   0.0390
WMF(K=50, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 495.1163 | 0.5982 | 0.0248 | 0.0328 | 0.0587 |  0.0397 |  0.0601 |  0.0667 |       0.0162 |    0.0784 |    0.8170 |   0.0406
WMF(K=50, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 495.1163 | 0.5981 | 0.0248 | 0.0328 | 0.0588 |  0.0397 |  0.0601 |  0.0667 |       0.0162 |    0.0784 |    0.8633 |   0.0446
WMF(K=50, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 486.7388 | 0.5718 | 0.0492 | 0.0455 | 0.0906 |  0.0606 |  0.0780 |  0.0934 |       0.0351 |    0.0911 |    0.8976 |   0.0511
WMF(K=50, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 486.7249 | 0.5751 | 0.0492 | 0.0456 | 0.0901 |  0.0606 |  0.0780 |  0.0915 |       0.0351 |    0.0911 |    0.8767 |   0.0440
WMF(K=50, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 486.7330 | 0.5788 | 0.0534 | 0.0455 | 0.0907 |  0.0642 |  0.0782 |  0.0898 |       0.0378 |    0.1001 |    0.8805 |   0.0439
WMF(K=50, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 486.7163 | 0.5769 | 0.0534 | 0.0457 | 0.0901 |  0.0642 |  0.0782 |  0.0917 |       0.0378 |    0.1001 |    0.8645 |   0.0466
WMF(K=50, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 489.4018 | 0.5188 | 0.0436 | 0.0528 | 0.1308 |  0.0744 |  0.0859 |  0.0959 |       0.0297 |    0.0920 |    0.8585 |   0.0425
WMF(K=50, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 490.2138 | 0.4924 | 0.0578 | 0.0640 | 0.1599 |  0.0970 |  0.1006 |  0.1129 |       0.0405 |    0.1246 |    0.8883 |   0.0491
WMF(K=50, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 485.7609 | 0.4972 | 0.0506 | 0.0505 | 0.1265 |  0.0778 |  0.0868 |  0.0895 |       0.0351 |    0.1019 |    0.8614 |   0.0460
WMF(K=50, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 490.9999 | 0.5205 | 0.0511 | 0.0465 | 0.0908 |  0.0715 |  0.0764 |  0.0834 |       0.0351 |    0.1176 |    0.8611 |   0.0411
